"FID";"road_name";"distance";"prev_bus_stop_x";"prev_bus_stop_y";"bus_stop_x";"bus_stop_y";"prev_bus_stop_id";"prev_bus_stop";"bus_stop_id";"bus_stop";"coordinates"
112;"35路";"1507.716156";"48941.4645";"19533.3733";"48462.7556";"19309.9108";"A02";"广大公寓站";"B06";"广大正门站";"48941.46449999884,19533.373300001025,48956.612100001425,19547.72780000046,49019.55270000175,19541.92960000038,49204.862100001425,19523.57409999892,49308.50250000134,19511.270399998873,49309.488499999046,19477.427999999374,49314.45670000091,19388.56289999932,49312.497299999,19360.721599999815,49306.02149999887,19281.30779999867,49300.89660000056,19236.691300000995,49300.63080000132,19228.466499999166,49210.15879999846,19241.130800001323,49053.506599999964,19266.54129999876,48928.7947999984,19279.090700000525,48744.96519999951,19292.07389999926,48589.54949999973,19296.612799998373,48494.44830000028,19293.12950000167,48482.16149999946,19291.50629999861,48462.75560000166,19309.91079999879"
113;"35路";"512.997666";"48475.6783";"19701.1931";"48941.4645";"19533.3733";"A03";"广大生活区站";"A02";"广大公寓站";"48475.67830000073,19701.193100001663,48514.00589999929,19673.0811999999,48567.44099999964,19619.80460000038,48634.56560000032,19586.816700000316,48672.63529999927,19579.03730000183,48800.569499999285,19565.54919999838,48878.15720000118,19555.055700000376,48908.8927000016,19552.94559999928,48932.02210000157,19549.859600000083,48941.46449999884,19533.373300001025"
114;"35路";"461.342938400241";"48608.8109";"20108.1057";"48475.6783";"19701.1931";"A04";"广大站";"A03";"广大生活区站";"48608.81089999899,20108.10570000112,48611.59629999846,20086.518100000918,48570.75079999864,20047.157499998808,48546.22980000079,20027.77930000052,48525.22340000048,20007.78029999882,48516.18829999864,19996.046900000423,48503.659099999815,19978.92350000143,48495.2173999995,19964.976599998772,48488.23820000142,19951.035900000483,48476.902800001204,19926.64050000161,48471.10330000147,19909.85649999976,48462.42639999837,19877.87950000167,48458.74879999831,19838.327500000596,48458.789400000125,19825.67550000176,48466.59039999917,19765.917399998754,48477.522300001234,19733.690799999982,48480.194099999964,19721.995999999344,48475.67830000073,19701.193100001663"
115;"35路";"615.407453";"48973.6076";"20475.9974";"48608.8109";"20108.1057";"A05";"中部枢纽站";"A04";"广大站";"48973.607599999756,20475.99740000069,48985.36140000075,20468.039400000125,48990.06210000068,20447.229899998754,48997.7210999988,20416.677000001073,49014.87739999965,20359.91250000149,48997.91369999945,20356.691599998623,48931.84430000186,20334.642900001258,48914.60880000144,20324.77950000018,48887.43549999967,20311.086199998856,48843.04300000146,20282.783700000495,48817.34250000119,20266.248199999332,48808.3013000004,20256.41250000149,48747.0009999983,20207.49190000072,48701.18340000138,20167.164999999106,48688.044700000435,20157.631200000644,48638.435800001025,20113.17940000072,48629.097399998456,20104.92350000143,48608.81089999899,20108.10570000112"
116;"35路";"552.950596";"48965.5304";"21003.5222";"48973.6076";"20475.9974";"B01";"西五路站";"A05";"中部枢纽站";"48965.53040000051,21003.52219999954,48975.77650000155,21004.531599998474,48988.11320000142,20990.337900001556,48998.06019999832,20973.4151000008,49003.534099999815,20963.626600001007,49010.49720000103,20946.188700001687,49012.617800001055,20942.020199999213,49014.91059999913,20920.6436999999,49015.75450000167,20913.180500000715,49016.7146999985,20905.591400001198,49016.96480000019,20900.784000001848,49017.18439999968,20868.77160000056,49013.31679999828,20833.83509999886,49010.59310000017,20813.189699999988,49000.099199999124,20739.342700000852,48994.93679999933,20676.058699999005,48988.783500000834,20617.51649999991,48978.482000000775,20560.015299998224,48979.13320000097,20509.140599999577,48981.13360000029,20493.59430000186,48981.156399998814,20486.477499999106,48973.607599999756,20475.99740000069"
118;"b25";"677.690086671704";"48941.4645";"19533.3733";"49614.7499";"19479.0643";"A02";"广大公寓站";"B09";"广美生活区站";"48941.46449999884,19533.373300001025,48964.435600001365,19547.991200000048,49077.25539999828,19532.76610000059,49238.85080000013,19517.283100001514,49307.15560000017,19511.608199998736,49489.852299999446,19486.917399998754,49539.79670000076,19487.507300000638,49589.73939999938,19488.94029999897,49614.74989999831,19479.064300000668"
119;"b25";"446.891418";"49614.7499";"19479.0643";"49687.5297";"19752.3305";"B09";"广美生活区站";"B10";"美术学院站";"49614.74989999831,19479.064300000668,49629.514600001276,19497.086399998516,49721.52659999952,19521.01339999959,49807.23050000146,19565.163800001144,49811.50670000166,19570.23860000074,49811.09860000014,19575.719599999487,49805.61950000003,19580.762600000948,49790.335999999195,19601.376899998635,49754.66259999946,19652.287999998778,49720.96730000153,19695.19339999929,49691.58469999954,19731.786899998784,49684.924600001425,19739.778200000525,49687.52969999984,19752.330499999225"
120;"b25";"512.997666";"48475.6783";"19701.1931";"48941.4645";"19533.3733";"A03";"广大生活区站";"A02";"广大公寓站";"48475.67830000073,19701.193100001663,48500.02870000154,19688.137699998915,48520.39499999955,19664.588199999183,48553.66860000044,19631.382300000638,48604.89290000126,19598.235700000077,48644.73990000039,19584.03049999848,48759.11699999869,19569.653799999505,48861.399099998176,19554.814399998635,48912.14350000024,19549.50250000134,48932.431299999356,19550.414799999446,48941.46449999884,19533.373300001025"
121;"b25";"1463.423504";"49687.5297";"19752.3305";"49031.0284";"20268.3047";"B10";"美术学院站";"C06";"大学城(中部枢纽)总站";"49687.52969999984,19752.330499999225,49673.92850000039,19761.672200001776,49658.58680000156,19800.422200001776,49652.28610000014,19818.114700000733,49649.53020000085,19825.6959999986,49645.612100001425,19830.744399998337,49627.669300001115,19828.574900001287,49615.96090000123,19829.37970000133,49578.48449999839,19834.314100001007,49540.19570000097,19849.36890000105,49495.601900000125,19883.803399998695,49414.601900000125,19954.3852000013,49362.167599998415,20000.180799998343,49283.12480000034,20068.66270000115,49208.01880000159,20126.612799998373,49201.37319999933,20130.386900000274,49196.62429999933,20135.93219999969,49190.208099998534,20128.95129999891,49177.354200001806,20121.949900001287,49126.75349999964,20082.555399999022,49102.43299999833,20061.38639999926,49086.87620000169,20045.517799999565,49072.283900000155,20032.81529999897,49042.93450000137,20059.077100001276,49019.46790000051,20075.869199998677,49002.8125,20097.955099999905,48975.430500000715,20118.95149999857,48940.24130000174,20140.975299999118,48883.56740000099,20170.308200001717,48862.047899998724,20188.161499999464,48820.99949999899,20212.27499999851,48811.196800000966,20227.002700001,48821.83210000023,20256.56309999898,48863.70479999855,20279.900800000876,48906.545499999076,20305.350900001824,48946.49139999971,20321.30070000142,48968.88740000129,20334.029599998146,48990.33150000125,20339.3739,49010.79300000146,20346.822999998927,49019.61080000177,20335.254799999297,49026.53029999882,20306.80779999867,49028.53929999843,20288.889800000936,49031.028400000185,20268.30469999835"
122;"b25";"461.342938400241";"48608.8109";"20108.1057";"48475.6783";"19701.1931";"A04";"广大站";"A03";"广大生活区站";"48608.81089999899,20108.10570000112,48603.736900001764,20079.875900000334,48543.42550000176,20026.531300000846,48504.54360000044,19983.381000000983,48479.70969999954,19939.85599999875,48464.64460000023,19892.147700000554,48461.99980000034,19865.146099999547,48458.707800000906,19796.810499999672,48472.911200001836,19748.356899999082,48478.46750000119,19719.27499999851,48475.67830000073,19701.193100001663"
123;"b25";"915.155151428614";"49374.483";"20566.8268";"48608.8109";"20108.1057";"B08";"华师站";"A04";"广大站";"49374.482999999076,20566.826799999923,49371.309099998325,20545.675000000745,49360.7333999984,20527.609200000763,49347.501899998635,20516.59809999913,49332.72569999844,20500.52120000124,49313.2611999996,20486.115899998695,49287.5540000014,20471.68829999864,49268.884100001305,20453.068100001663,49247.8451000005,20442.875,49187.05480000004,20417.364300001413,49121.58439999819,20390.994800001383,49029.56709999964,20368.753699999303,48998.36719999835,20363.58709999919,48957.05669999868,20347.42119999975,48906.40029999986,20325.319200001657,48838.637699998915,20283.75820000097,48791.15480000153,20245.639899998903,48767.79659999907,20228.69029999897,48718.75539999828,20189.72269999981,48659.60460000113,20139.75609999895,48642.63509999961,20117.96489999816,48632.51610000059,20109.916799999774,48608.81089999899,20108.10570000112"
124;"b25";"724.755273772546";"49470.1268";"21251.9715";"49374.483";"20566.8268";"B07";"星海学院站";"B08";"华师站";"49470.12680000067,21251.971500001848,49481.327300000936,21220.370799999684,49482.047200001776,21148.14169999957,49490.09650000185,21071.71970000118,49497.58100000024,21019.547800000757,49509.960799999535,20961.594000000507,49514.023499999195,20911.520399998873,49506.954700000584,20834.521499998868,49507.029199998826,20811.32409999892,49490.658100001514,20744.837999999523,49454.365899998695,20654.5615000017,49441.71999999881,20643.447099998593,49414.06850000098,20596.43200000003,49398.523499999195,20576.87269999832,49374.482999999076,20566.826799999923"
126;"大学城专线1";"522.002616";"48941.4645";"19533.3733";"48475.6783";"19701.1931";"A02";"广大公寓站";"A03";"广大生活区站";"48941.46449999884,19533.373300001025,48930.363099999726,19549.09849999845,48902.25459999964,19553.116099998355,48810.03189999983,19564.509799998254,48748.54569999874,19573.159899998456,48680.92430000007,19578.94220000133,48643.440900001675,19586.091099999845,48605.64499999955,19599.56529999897,48565.185600001365,19622.204300001264,48529.08460000157,19654.662799999118,48507.049400001764,19681.474700000137,48494.10410000011,19702.941100001335,48475.67830000073,19701.193100001663"
