"x";"y";"endnum";"linenum"
"49494.5613";"20670.7336";"137";"490"
"49818.6878";"20681.6925";"155";"491"
"49827.9386";"20687.0611";"613";"492"
"50431.9567";"20738.1976";"249";"128"
"50519.0279";"20405.8978";"194";"129"
"50136.1639";"20750.1415";"187";"493"
"50289.3875";"20663.3116";"197";"290"
"50438.9241";"20751.8507";"256";"130"
"49829.252";"20684.5075";"157";"494"
"50136.1639";"20750.1415";"187";"291"
"50113.3949";"20762.005";"186";"495"
"50136.4233";"20775.6038";"190";"292"
"50136.4233";"20775.6038";"190";"293"
"48408.1393";"20811.714";"78";"383"
"49821.8424";"20839.5059";"167";"479"
"51366.586";"20857.5822";"386";"232"
"49733.9158";"20860.171";"164";"480"
"49813.5157";"20838.597";"166";"481"
"51371.3323";"20863.9278";"628";"233"
"48417.4083";"20865.2913";"83";"384"
"51358.425";"20882.2303";"393";"234"
"51358.425";"20882.2303";"393";"235"
"50023.9839";"20884.7241";"189";"482"
"50113.3949";"20762.005";"186";"294"
"49730.1061";"20858.7622";"163";"483"
"50023.9839";"20884.7241";"189";"295"
"49651.5958";"20896.5823";"160";"484"
"49445.7362";"20669.8128";"134";"781"
"49537.7756";"20914.4805";"151";"782"
"49644.6394";"20899.0869";"159";"485"
"49534.0408";"20932.7614";"152";"486"
"49534.0408";"20932.7614";"152";"487"
"49503.6639";"20910.2378";"146";"783"
"51099.906";"20348.5531";"284";"236"
"51285.7404";"20948.1855";"390";"131"
"51330.8696";"20949.3938";"401";"52"
"51330.8696";"20949.3938";"401";"237"
"51285.7404";"20948.1855";"390";"238"
"51264.9784";"20965.8439";"389";"132"
"51295.8705";"20978.4593";"399";"239"
"50019.1404";"20897.2917";"192";"296"
"50016.2723";"20996.4571";"223";"297"
"50016.2723";"20996.4571";"223";"298"
"49996.5809";"20986.3061";"208";"299"
"49994.0954";"21002.7072";"212";"300"
"49526.928";"21012.7172";"158";"784"
"49502.6066";"20935.0028";"150";"785"
"49526.928";"21012.7172";"158";"468"
"51231.3274";"21024.343";"396";"240"
"49996.5809";"20986.3061";"208";"469"
"49649.2748";"21025.3119";"168";"470"
"49488.8749";"21018.2464";"156";"786"
"49517.7617";"21032.9056";"161";"471"
"49517.7617";"21032.9056";"161";"472"
"49801.187";"21032.3649";"180";"473"
"49812.3438";"21033.4573";"184";"474"
"52567.0891";"20309.3894";"450";"385"
"49656.3588";"21028.9612";"169";"475"
"51207.7086";"21039.6036";"395";"74"
"48951.9726";"21046.5297";"132";"508"
"53030.3772";"21052.3683";"526";"386"
"53030.3772";"21052.3683";"526";"387"
"48952.6513";"21058.1094";"600";"509"
"48926.8283";"21065.022";"131";"510"
"48926.8283";"21065.022";"131";"511"
"49994.0954";"21002.7072";"212";"301"
"52992.2491";"21034.162";"524";"388"
"53005.3755";"21083.2976";"527";"53"
"51091.5997";"21088.6612";"377";"241"
"51089.0726";"21095.7842";"624";"242"
"51069.6186";"21103.2846";"375";"243"
"51069.6186";"21103.2846";"375";"244"
"51703.4408";"21106.9227";"634";"54"
"51699.1394";"21110.2352";"446";"55"
"48301.5801";"20532.79";"48";"389"
"50326.8044";"20673.3909";"215";"133"
"51719.3744";"21121.0554";"448";"56"
"51719.3744";"21121.0554";"448";"57"
"49990.1528";"21082.7079";"231";"302"
